ticker,cap,country,industry,financial_currency,currency
5183.KL,large,Malaysia,Chemicals,MYR,MYR
KEP,large,South Korea,Utilities - Regulated Electric,KRW,USD
THYAO.IS,large,Turkey,Airlines,TRY,TRY
CA.PA,large,France,Grocery Stores,EUR,EUR
5802.T,large,Japan,Auto Parts,JPY,JPY
EVRG,large,United States,Utilities - Regulated Electric,USD,USD
FORTUM.HE,large,Finland,Utilities - Renewable,EUR,EUR
4523.T,large,Japan,Drug Manufacturers - Specialty & Generic,JPY,JPY
PAA,large,United States,Oil & Gas Midstream,USD,USD
6618.HK,large,China,Medical Care Facilities,CNY,HKD
AES,large,United States,Utilities - Diversified,USD,USD
DVA,large,United States,Medical Care Facilities,USD,USD
MB.MI,large,Italy,Banks - Regional,EUR,EUR
HAVELLS.NS,large,India,Electrical Equipment & Parts,INR,INR
WRK,large,United States,Packaging & Containers,USD,USD
2892.TW,large,Taiwan,Banks - Regional,TWD,TWD
1972.HK,large,Hong Kong,Real Estate Services,HKD,HKD
ERF.PA,large,Luxembourg,Diagnostics & Research,EUR,EUR
BAJAJHLDNG.NS,large,India,Asset Management,INR,INR
CCH.L,large,Switzerland,Beverages - Non-Alcoholic,EUR,GBP
VIV.PA,large,France,Entertainment,EUR,EUR
FROTO.IS,large,Turkey,Auto Manufacturers,TRY,TRY
TPL,large,United States,Oil & Gas E&P,USD,USD
BCH,large,Chile,Banks - Regional,CLP,USD
6869.T,large,Japan,Medical Instruments & Supplies,JPY,JPY
7202.SR,large,Saudi Arabia,Telecom Services,SAR,SAR
2002A.TW,large,Taiwan,Steel,TWD,TWD
NIO,large,China,Auto Manufacturers,CNY,USD
REXR,large,United States,REIT - Industrial,USD,USD
HII,large,United States,Aerospace & Defense,USD,USD
ZI,large,United States,Software - Application,USD,USD
FIVE,large,United States,Specialty Retail,USD,USD
DIVISLAB.NS,large,India,Drug Manufacturers - Specialty & Generic,INR,INR
3034.TW,large,Taiwan,Semiconductors,TWD,TWD
LEGN,large,United States,Biotechnology,USD,USD
LSCC,large,United States,Semiconductors,USD,USD
2207.TW,large,Taiwan,Auto & Truck Dealerships,TWD,TWD
ELF,large,United States,Household & Personal Products,USD,USD
DEMANT.CO,large,Denmark,Medical Devices,DKK,DKK
NVT,large,United Kingdom,Electrical Equipment & Parts,USD,USD
7020.SR,large,Saudi Arabia,Telecom Services,SAR,SAR
CX,large,Mexico,Building Materials,USD,USD
ALLE,large,Ireland,Security & Protection Services,USD,USD
RL,large,United States,Apparel Manufacturing,USD,USD
DABUR.NS,large,India,Household & Personal Products,INR,INR
QRVO,large,United States,Semiconductors,USD,USD
WXXWY,large,China,Biotechnology,CNY,USD
0ZQ.F,large,Kazakhstan,Uranium,KZT,EUR
REG,large,United States,REIT - Retail,USD,USD
1080.SR,large,Saudi Arabia,Banks - Regional,SAR,SAR
